============================================================================================================================================
S3.20 Fixed-Point Conversion Verification
Format: 1 sign bit + 3 integer bits + 20 fractional bits = 24 bits
Range: -8.0 to +7.999999...
============================================================================================================================================

Index   Original       Hex       Binary (S|III|FRAC...)        Recovered      Error          
4158    -0.0505995490  0x80CF41   1|000|0000110011...           -0.0505990982  4.51e-07       
4159    0.0762059763   0x013824   0|000|0001001110...           0.0762062073   2.31e-07       
4160    -0.0727230310  0x8129E0   1|000|0001001010...           -0.0727233887  3.58e-07       
4161    -0.0135649368  0x803790   1|000|0000001101...           -0.0135650635  1.27e-07       
4162    0.0248600729   0x0065D4   0|000|0000011001...           0.0248603821   3.09e-07       
4163    -0.0204250067  0x8053A9   1|000|0000010100...           -0.0204248428  1.64e-07       
4164    -0.0267341472  0x806D81   1|000|0000011011...           -0.0267343521  2.05e-07       
4165    -0.0573355965  0x80EAD9   1|000|0000111010...           -0.0573358536  2.57e-07       
4166    -0.0529994480  0x80D916   1|000|0000110110...           -0.0529994965  4.85e-08       
4167    0.0147259738   0x003C51   0|000|0000001111...           0.0147256851   2.89e-07       
4168    0.1619491428   0x029758   0|000|0010100101...           0.1619491577   1.49e-08       
4169    0.0001352717   0x00008E   0|000|0000000000...           0.0001354218   1.50e-07       
4170    0.0191991236   0x004EA4   0|000|0000010011...           0.0191993713   2.48e-07       
4171    -0.0108707547  0x802C87   1|000|0000001011...           -0.0108709335  1.79e-07       
4172    0.0685268268   0x0118B0   0|000|0001000110...           0.0685272217   3.95e-07       
4173    -0.0414477140  0x80A9C5   1|000|0000101010...           -0.0414476395  7.45e-08       
4174    0.0956847072   0x0187ED   0|000|0001100001...           0.0956850052   2.98e-07       
4175    -0.1531175673  0x82732B   1|000|0010011100...           -0.1531171799  3.87e-07       
4176    0.0008577481   0x000383   0|000|0000000000...           0.0008573532   3.95e-07       
4177    0.0080028465   0x0020C8   0|000|0000001000...           0.0080032349   3.88e-07       
4178    0.0391022637   0x00A02A   0|000|0000101000...           0.0391025543   2.91e-07       
4179    0.0282304026   0x0073A2   0|000|0000011100...           0.0282306671   2.65e-07       
4180    -0.0257132314  0x806952   1|000|0000011010...           -0.0257129669  2.64e-07       
4181    -0.0420568734  0x80AC44   1|000|0000101011...           -0.0420570374  1.64e-07       
4182    0.0467743613   0x00BF96   0|000|0000101111...           0.0467739105   4.51e-07       
4183    -0.0891184285  0x816D07   1|000|0001011011...           -0.0891180038  4.25e-07       
4184    0.0815262720   0x014DEE   0|000|0001010011...           0.0815258026   4.69e-07       
4185    -0.1363233328  0x822E61   1|000|0010001011...           -0.1363229752  3.58e-07       
4186    0.0195368901   0x005006   0|000|0000010100...           0.0195369720   8.19e-08       
4187    -0.0358927213  0x809304   1|000|0000100100...           -0.0358924866  2.35e-07       
4188    -0.1380513757  0x823575   1|000|0010001101...           -0.1380510330  3.43e-07       
4189    0.0762009844   0x01381F   0|000|0001001110...           0.0762014389   4.55e-07       
4190    -0.0052018301  0x80154F   1|000|0000000101...           -0.0052022934  4.63e-07       
4191    0.0946535543   0x0183B3   0|000|0001100000...           0.0946531296   4.25e-07       
4192    -0.0266192742  0x806D08   1|000|0000011011...           -0.0266189575  3.17e-07       
4193    -0.1356966794  0x822BD0   1|000|0010001010...           -0.1356964111  2.68e-07       
4194    0.0942798406   0x01822C   0|000|0001100000...           0.0942802429   4.02e-07       
4195    -0.0884741917  0x816A64   1|000|0001011010...           -0.0884742737  8.20e-08       
4196    -0.0415775143  0x80AA4D   1|000|0000101010...           -0.0415773392  1.75e-07       
4197    -0.1128124595  0x81CE14   1|000|0001110011...           -0.1128120422  4.17e-07       
4198    -0.0675830469  0x8114D2   1|000|0001000101...           -0.0675830841  3.72e-08       
4199    -0.0659316704  0x810E0E   1|000|0001000011...           -0.0659313202  3.50e-07       
4200    0.1004290804   0x019B5C   0|000|0001100110...           0.1004295349   4.55e-07       
4201    -0.0715149790  0x8124ED   1|000|0001001001...           -0.0715150833  1.04e-07       
4202    -0.2310005575  0x83B22E   1|000|0011101100...           -0.2310009003  3.43e-07       
4203    0.0371451490   0x009826   0|000|0000100110...           0.0371456146   4.66e-07       
4204    0.2417614758   0x03DE41   0|000|0011110111...           0.2417612076   2.68e-07       
4205    -0.0137986187  0x803885   1|000|0000001110...           -0.0137987137  9.50e-08       
4206    -0.1266180873  0x8206A1   1|000|0010000001...           -0.1266183853  2.98e-07       
4207    0.0284548048   0x00748D   0|000|0000011101...           0.0284547806   2.42e-08       
4208    0.0406100117   0x00A657   0|000|0000101001...           0.0406103134   3.02e-07       
4209    -0.3049462140  0x84E10F   1|000|0100111000...           -0.3049459457  2.68e-07       
4210    0.0269895587   0x006E8D   0|000|0000011011...           0.0269899368   3.78e-07       
4211    0.0155631686   0x003FBF   0|000|0000001111...           0.0155630112   1.57e-07       
4212    -0.0790222734  0x8143AD   1|000|0001010000...           -0.0790224075  1.34e-07       
4213    -0.0340001732  0x808B44   1|000|0000100010...           -0.0340003967  2.24e-07       
4214    0.1948461831   0x031E17   0|000|0011000111...           0.1948461533   2.98e-08       
4215    -0.1010535210  0x819DEA   1|000|0001100111...           -0.1010532379  2.83e-07       
4216    0.1230750158   0x01F81E   0|000|0001111110...           0.1230754852   4.69e-07       
4217    -0.0399222486  0x80A386   1|000|0000101000...           -0.0399227142  4.66e-07       
4218    -0.1826218665  0x82EC05   1|000|0010111011...           -0.1826219559  8.94e-08       
4219    -0.1628573984  0x829B10   1|000|0010100110...           -0.1628570557  3.43e-07       
4220    0.0914772898   0x0176B1   0|000|0001011101...           0.0914773941   1.04e-07       
4221    -0.0296036880  0x807942   1|000|0000011110...           -0.0296039581  2.70e-07       
4222    -0.0367825292  0x8096A9   1|000|0000100101...           -0.0367822647  2.64e-07       
4223    -0.1032648683  0x81A6F9   1|000|0001101001...           -0.1032648087  5.96e-08       
4224    -0.1503038853  0x8267A5   1|000|0010011001...           -0.1503038406  4.47e-08       
4225    0.1861943156   0x02FAA7   0|000|0010111110...           0.1861944199   1.04e-07       
4226    0.0715439767   0x01250B   0|000|0001001001...           0.0715436935   2.83e-07       
4227    -0.0748788491  0x8132B4   1|000|0001001100...           -0.0748786926  1.56e-07       
4228    -0.1011135280  0x819E29   1|000|0001100111...           -0.1011133194  2.09e-07       
4229    0.2120592892   0x036498   0|000|0011011001...           0.2120590210   2.68e-07       
4230    0.0696715117   0x011D60   0|000|0001000111...           0.0696716309   1.19e-07       
4231    -0.0260009803  0x806A80   1|000|0000011010...           -0.0260009766  3.74e-09       
4232    0.2117267102   0x03633C   0|000|0011011000...           0.2117271423   4.32e-07       
4233    -0.0565643646  0x80E7B0   1|000|0000111001...           -0.0565643311  3.35e-08       
4234    -0.0918288603  0x817822   1|000|0001011110...           -0.0918292999  4.40e-07       
4235    0.1736241728   0x02C72A   0|000|0010110001...           0.1736240387   1.34e-07       
4236    0.2642192543   0x043A3E   0|000|0100001110...           0.2642192841   2.98e-08       
4237    -0.0566927753  0x80E837   1|000|0000111010...           -0.0566930771  3.02e-07       
4238    -0.1278738827  0x820BC5   1|000|0010000010...           -0.1278734207  4.62e-07       
4239    0.1023622602   0x01A347   0|000|0001101000...           0.1023626328   3.73e-07       
4240    -0.2110414356  0x83606D   1|000|0011011000...           -0.2110414505  1.49e-08       
4241    0.1224202439   0x01F56F   0|000|0001111101...           0.1224203110   6.71e-08       
4242    -0.0568013452  0x80E8A9   1|000|0000111010...           -0.0568017960  4.51e-07       
4243    -0.0526583530  0x80D7B0   1|000|0000110101...           -0.0526580811  2.72e-07       
4244    0.2174395770   0x037AA2   0|000|0011011110...           0.2174396515   7.45e-08       
4245    -0.0702341422  0x811FAE   1|000|0001000111...           -0.0702342987  1.57e-07       
4246    -0.1291764379  0x82111B   1|000|0010000100...           -0.1291761398  2.98e-07       
4247    -0.0183259845  0x804B10   1|000|0000010010...           -0.0183258057  1.79e-07       
4248    0.1157920882   0x01DA49   0|000|0001110110...           0.1157922745   1.86e-07       
4249    0.0186482575   0x004C62   0|000|0000010011...           0.0186481476   1.10e-07       
4250    -0.1322128028  0x821D8B   1|000|0010000111...           -0.1322126389  1.64e-07       
4251    0.1645781696   0x02A21D   0|000|0010101000...           0.1645784378   2.68e-07       
4252    0.1111749783   0x01C75F   0|000|0001110001...           0.1111745834   3.95e-07       
4253    -0.1680975258  0x82B087   1|000|0010101100...           -0.1680974960  2.98e-08       
4254    0.0001032277   0x00006C   0|000|0000000000...           0.0001029968   2.31e-07       
4255    -0.0210192949  0x805618   1|000|0000010101...           -0.0210189819  3.13e-07       
4256    0.1219893992   0x01F3AB   0|000|0001111100...           0.1219892502   1.49e-07       
4257    0.0330141485   0x00873A   0|000|0000100001...           0.0330142975   1.49e-07       
4258    -0.2286082059  0x83A861   1|000|0011101010...           -0.2286081314  7.45e-08       
4259    0.1739968210   0x02C8B1   0|000|0010110010...           0.1739969254   1.04e-07       
4260    -0.1958090663  0x832209   1|000|0011001000...           -0.1958093643  2.98e-07       
4261    -0.1041196734  0x81AA79   1|000|0001101010...           -0.1041193008  3.73e-07       
4262    -0.1283823997  0x820DDB   1|000|0010000011...           -0.1283826828  2.83e-07       
4263    -0.2494846433  0x83FDE4   1|000|0011111111...           -0.2494850159  3.73e-07       
4264    0.0483259149   0x00C5F1   0|000|0000110001...           0.0483255386   3.76e-07       
4265    -0.0979073346  0x819107   1|000|0001100100...           -0.0979070663  2.68e-07       
4266    -0.1760425121  0x82D112   1|000|0010110100...           -0.1760425568  4.47e-08       
4267    0.0380130112   0x009BB4   0|000|0000100110...           0.0380134583   4.47e-07       
4268    -0.0464024171  0x80BE10   1|000|0000101111...           -0.0464019775  4.40e-07       
4269    0.0982068032   0x019241   0|000|0001100100...           0.0982065201   2.83e-07       
4270    -0.2424677759  0x83E126   1|000|0011111000...           -0.2424678802  1.04e-07       
4271    0.0337637477   0x008A4C   0|000|0000100010...           0.0337638855   1.38e-07       
4272    0.0943011791   0x018242   0|000|0001100000...           0.0943012238   4.47e-08       
4273    -0.1184076369  0x81E4FF   1|000|0001111001...           -0.1184072495  3.87e-07       
4274    0.0896227881   0x016F18   0|000|0001011011...           0.0896224976   2.91e-07       
4275    -0.2890835106  0x84A016   1|000|0100101000...           -0.2890834808  2.98e-08       
4276    0.1812972128   0x02E698   0|000|0010111001...           0.1812973022   8.94e-08       
4277    -0.0035568499  0x800E92   1|000|0000000011...           -0.0035572052  3.55e-07       
4278    0.0167243294   0x004481   0|000|0000010001...           0.0167245865   2.57e-07       
4279    0.0526668355   0x00D7B9   0|000|0000110101...           0.0526666641   1.71e-07       
4280    -0.1051928103  0x81AEDF   1|000|0001101011...           -0.1051931381  3.28e-07       
4281    -0.1543000489  0x827803   1|000|0010011110...           -0.1542997360  3.13e-07       
4282    -0.0332656018  0x808842   1|000|0000100010...           -0.0332660675  4.66e-07       
4283    -0.0327737406  0x80863E   1|000|0000100001...           -0.0327739716  2.31e-07       
4284    -0.0353600569  0x8090D6   1|000|0000100100...           -0.0353603363  2.79e-07       
4285    -0.2671047449  0x844610   1|000|0100010001...           -0.2671051025  3.58e-07       
4286    0.1131374389   0x01CF69   0|000|0001110011...           0.1131372452   1.94e-07       
4287    0.2337687910   0x03BD84   0|000|0011101111...           0.2337684631   3.28e-07       
4288    -0.1291846782  0x821124   1|000|0010000100...           -0.1291847229  4.47e-08       
4289    0.0297026094   0x0079A9   0|000|0000011110...           0.0297021866   4.23e-07       
4290    -0.0268538240  0x806DFE   1|000|0000011011...           -0.0268535614  2.63e-07       
4291    0.0258424897   0x0069DA   0|000|0000011010...           0.0258426666   1.77e-07       
4292    -0.0732753128  0x812C23   1|000|0001001011...           -0.0732755661  2.53e-07       
4293    -0.2451395392  0x83EC17   1|000|0011111011...           -0.2451391220  4.17e-07       
4294    0.2464229763   0x03F159   0|000|0011111100...           0.2464227676   2.09e-07       
4295    -0.2966163456  0x84BEF1   1|000|0100101111...           -0.2966165543  2.09e-07       
4296    -0.0060851644  0x8018ED   1|000|0000000110...           -0.0060853958  2.31e-07       
4297    -0.1804057062  0x82E2F1   1|000|0010111000...           -0.1804056168  8.94e-08       
4298    0.0210505892   0x005639   0|000|0000010101...           0.0210504532   1.36e-07       
4299    -0.2833873332  0x8488C1   1|000|0100100010...           -0.2833871841  1.49e-07       
4300    0.1062805206   0x01B353   0|000|0001101100...           0.1062803268   1.94e-07       
4301    0.0782305971   0x01406F   0|000|0001010000...           0.0782308578   2.61e-07       
4302    -0.1386854202  0x82380E   1|000|0010001110...           -0.1386852264  1.94e-07       
4303    -0.0855383575  0x815E5D   1|000|0001010111...           -0.0855379105  4.47e-07       
4304    0.0725111663   0x012901   0|000|0001001010...           0.0725107193   4.47e-07       
4305    -0.0428162813  0x80AF60   1|000|0000101011...           -0.0428161621  1.19e-07       
4306    -0.0442081764  0x80B514   1|000|0000101101...           -0.0442085266  3.50e-07       
